Movie	Released on	URL	Word	Count
Main Tulsi Tere Aangan Ki (1978)	1978	https://www.lyricsbogie.com/movies/main-tulsi-tere-aangan-ki-1978/chhap-tilak-sab-chhini-re.html	gori	12
Baap Re Baap (1955)	1955	https://www.lyricsbogie.com/movies/baap-re-baap-1955/piya-piya-piya.html	gora	4
Baap Re Baap (1955)	1955	https://www.lyricsbogie.com/movies/baap-re-baap-1955/piya-piya-piya.html	gori	8
Sangdil Sanam (1994)	1994	https://www.lyricsbogie.com/movies/sangdil-sanam-1994/one-two-three.html	gori	2
Des Pardes (1978)	1978	https://www.lyricsbogie.com/movies/des-pardes-1978/jaisa-des-waisa-bhes.html	goriye	1
Des Pardes (1978)	1978	https://www.lyricsbogie.com/movies/des-pardes-1978/jaisa-des-waisa-bhes.html	gori	1
Criminal (1995)	1995	https://www.lyricsbogie.com/movies/criminal-1995/jaanu-jaanu-jaanu.html	gori	1
Pyar Kiye Jaa (1966)	1966	https://www.lyricsbogie.com/movies/pyar-kiye-jaa-1966/gore-hathon-par-na.html	gore	8
Aji Bas Shukriya (1958)	1958	https://www.lyricsbogie.com/movies/aji-bas-shukriya-1958/sach-kehta-hai-johny-walker.html	goriya	1
Bombay (1995)	1995	https://www.lyricsbogie.com/movies/bombay-1995/humma-humma.html	gori	2
Bombay (1995)	1995	https://www.lyricsbogie.com/movies/bombay-1995/humma-humma.html	gore	1
Bahaar (1940)	1940	https://www.lyricsbogie.com/movies/bahaar-1940/panja-chhaka-khel-re.html	gori	4
Mujrim Kaun? (1968)	1968	https://www.lyricsbogie.com/movies/mujrim-kaun-1968/rut-jawan-rangin-mausam.html	gore	4
Kamal Ke Phool (1950)	1950	https://www.lyricsbogie.com/movies/kamal-ke-phool-1950/koi-dil-mein-samaya.html	gori	2
Cha Cha Cha (1964)	1962	https://www.lyricsbogie.com/movies/cha-cha-cha-1964/ek-lali-ghar.html	gora	2
Kali Topi Lal Rumal (1959)	1959	https://www.lyricsbogie.com/movies/kali-topi-lal-rumal-1959/gori-odh-ke-malmal-nikli.html	gori	4
Chalti Ka Naam Gaadi (1958)	1958	https://www.lyricsbogie.com/movies/chalti-ka-naam-gaadi-1958/haal-kaisa-hai-janab-ka.html	gore	4
Kahte Hain Mujhko Raja (1975)	1975	https://www.lyricsbogie.com/movies/kahte-hain-mujhko-raja-1975/jiya-me-toofan-jaga-ke.html	gori	2
Naach Uthe Sansaar (1976)	1976	https://www.lyricsbogie.com/movies/naach-uthe-sansaar-1976/aaja-re-aaja.html	gori	2
Khwaabb (2014)	2014	https://www.lyricsbogie.com/movies/khwaabb-2014/tv-ko-dekh.html	gori	1
Risk (2007)	2007	https://www.lyricsbogie.com/movies/risk-2007/mala-lagali-kunaachi-hitchaki.html	gori	4
Chhota Aadmi (1986)	1986	https://www.lyricsbogie.com/movies/chhota-aadmi-1986/haule-haule-haule-se-aaja.html	gori	1
Aladdin Aur Jadui Chirag (1952)	1952	https://www.lyricsbogie.com/movies/aladdin-aur-jadui-chirag-1952/sharma-ke-zara.html	gori	4
Meena Bazar (1991)	1991	https://www.lyricsbogie.com/movies/meena-bazar-1991/aaj-to-janeman.html	gora	3
Ek Sapera Ek Lutera (1965)	1965	https://www.lyricsbogie.com/movies/ek-sapera-ek-lutera-1965/ek-sapera-ek-lutera-title.html	gori	1
Hogi Pyaar Ki Jeet (1999)	1999	https://www.lyricsbogie.com/movies/hogi-pyaar-ki-jeet-1999/taalon-mein-nainital.html	gorii	1
Zamane Se Poocho (1976)	1976	https://www.lyricsbogie.com/movies/zamane-se-poocho-1976/holi-aai-re-2.html	gori	2
Zamane Se Poocho (1976)	1976	https://www.lyricsbogie.com/movies/zamane-se-poocho-1976/holi-aai-re-2.html	gore	1
Nishana (1980)	1980	https://www.lyricsbogie.com/movies/nishana-1980/maine-tujhe-jeet-liya.html	gora	2
Bandhan (1969)	1969	https://www.lyricsbogie.com/movies/bandhan-1969/are-jaana-hai-to.html	goriya	1
Toss: A Flip of Destiny (2009)	2009	https://www.lyricsbogie.com/movies/toss-a-flip-of-destiny-2009/abe-saale.html	gori	2
Madhosh (1951)	1951	https://www.lyricsbogie.com/movies/madhosh-1951/pagdi-pehan-ke-turredaar.html	goriya	3
Sawan Ko Aane Do (1979)	1979	https://www.lyricsbogie.com/movies/sawan-ko-aane-do-1979/kajre-ki-baati.html	gori	1
Maan Gaye Ustad (1981)	1981	https://www.lyricsbogie.com/movies/maan-gaye-ustad-1981/jawani-ki-kahani-bhi-ajeeb-hai.html	gore	1
Pardesi (1970)	1970	https://www.lyricsbogie.com/movies/pardesi-1970/pardesi-piya.html	gori	2
Buddha Mil Gaya (1971)	1971	https://www.lyricsbogie.com/movies/buddha-mil-gaya-1971/main-buddho.html	gori	1
Buddha Mil Gaya (1971)	1971	https://www.lyricsbogie.com/movies/buddha-mil-gaya-1971/main-buddho.html	gore	1
Ek Rishtaa: The Bond Of Love (2001)	2001	https://www.lyricsbogie.com/movies/ek-rishtaa-the-bond-of-love-2001/mulakaat.html	gora	1
Woh Phir Aayegi (1988)	1988	https://www.lyricsbogie.com/movies/woh-phir-aayegi-1988/bol-sakhi.html	gori	1
Khud-Daar (1982)	1982	https://www.lyricsbogie.com/movies/khud-daar-1982/mach-gaya-shor.html	gora	2
Khud-Daar (1982)	1982	https://www.lyricsbogie.com/movies/khud-daar-1982/mach-gaya-shor.html	gori	1
Bhishma (1996)	1996	https://www.lyricsbogie.com/movies/bhishma-1996/dil-jo-lagaye-jaan-se-jaye.html	gori	6
Abhi To Main Jawan Hoon (1989)	1989	https://www.lyricsbogie.com/movies/abhi-to-main-jawan-hoon-1989/jane-kahan-kab-de-jaye-dhokha.html	gora	1
Nav Durga (1953)	1953	https://www.lyricsbogie.com/movies/nav-durga-1953/jai-jaikaar-karo-mata-ki.html	gori	1
Godaan (1963)	1963	https://www.lyricsbogie.com/movies/godaan-1963/o-bedardi-kyun-tadpaaye.html	gori	1
Rangeen Raten (1956)	1956	https://www.lyricsbogie.com/movies/rangeen-raten-1956/gokul-ke-gwaale.html	gore	2
Gwalan (1946)	1946	https://www.lyricsbogie.com/movies/gwalan-1946/lagat-nazar-tori-chalaiyya.html	gore	13
Sooper Se Ooper (2013)	2013	https://www.lyricsbogie.com/movies/sooper-se-ooper-2013/gun-gun-gutar.html	gori	1
Anjaana (1969)	1969	https://www.lyricsbogie.com/movies/anjaana-1969/haay-bujho-puchho.html	gori	1
Dil Aur Deewaar (1978)	1978	https://www.lyricsbogie.com/movies/dil-aur-deewaar-1978/mujhse-puchh-mere-meet.html	gori	3
Itihaas (1997)	1997	https://www.lyricsbogie.com/movies/itihaas-1997/bol-bol-bol-rani-ladki-deewani.html	goriye	4
Tessri Gali (1958)	1958	https://www.lyricsbogie.com/movies/tessri-gali-1958/pardesi-ne.html	gori	2
Vijaypath (1994)	1994	https://www.lyricsbogie.com/movies/vijaypath-1994/kal-saiya-ne-aisi-bowling-ki.html	gora	1
Aag (1948)	1948	https://www.lyricsbogie.com/movies/aag-1948/solah-baras-ki-bhayi-umariya.html	gore	4
Kaalia (1997)	1997	https://www.lyricsbogie.com/movies/kaalia-1997/meethi-meethi-baatein-2.html	gora	20
Heera (1973)	1973	https://www.lyricsbogie.com/movies/heera-1973/ek-chokariya.html	gori	2
Bus Conductor (1959)	1959	https://www.lyricsbogie.com/movies/bus-conductor-1959/man-mein-tere-kya-hai.html	gori	4
Naya Paisa (1958)	1958	https://www.lyricsbogie.com/movies/naya-paisa-1958/o-meri-bulbule-baghdad.html	gori	1
Aankhon Aankhon Mein (1972)	1972	https://www.lyricsbogie.com/movies/aankhon-aankhon-mein-1972/teri-umar-nadan-hai.html	gori	2
Aankhon Aankhon Mein (1972)	1972	https://www.lyricsbogie.com/movies/aankhon-aankhon-mein-1972/teri-umar-nadan-hai.html	gore	2
Tarang (1952)	1952	https://www.lyricsbogie.com/movies/tarang-1952/nadiya-kinare-mora.html	gori	1
Mera Ghar Mere Bachche (1960)	1960	https://www.lyricsbogie.com/movies/mera-ghar-mere-bachche-1960/wohi-udi-udi-ghataye.html	gore	1
Appu Raja (1990)	1990	https://www.lyricsbogie.com/movies/appu-raja-1990/woh-bana-apna.html	gori	1
Khauff (2000)	2000	https://www.lyricsbogie.com/movies/khauff-2000/oh-gori-gori.html	gori	20
Kushti (2010)	2010	https://www.lyricsbogie.com/movies/kushti-2010/dekho-mere-gaon-mein.html	gori	2
Gopal Krishna (1979)	1979	https://www.lyricsbogie.com/movies/gopal-krishna-1979/aayo-phagun-hattheelo.html	gori	5
Buniyaad (1972)	1972	https://www.lyricsbogie.com/movies/buniyaad-1972/main-hoon-kismatwala.html	gori	1
Suraj (1997)	1997	https://www.lyricsbogie.com/movies/suraj-1997/ek-ladki-nache-raste-mein.html	gora	4
Meherbaan (1993)	1993	https://www.lyricsbogie.com/movies/meharbaan-1993/dhire-se-chupke-se.html	goriye	2
Mahua (1969)	1969	https://www.lyricsbogie.com/movies/mahua-1969/thumak-thumak-teri-chal-mastani.html	gore	4
Ungli (2014)	2014	https://www.lyricsbogie.com/movies/ungli-2014/dance-basanti.html	gori	2
Mohabbatein (2000)	2000	https://www.lyricsbogie.com/movies/mohabbatein-2000/soni-soni.html	gora	1
Do Dil (1965)	1965	https://www.lyricsbogie.com/movies/do-dil-1965/kaanton-mein-phasa-aanchal.html	gori	2
Police (1958)	1958	https://www.lyricsbogie.com/movies/police-1958/o-chhup-ja-hamare-dil-mein.html	gori	1
Lakshmi Narayan (1951)	1951	https://www.lyricsbogie.com/movies/lakshmi-narayan-1951/aaj-achanak-jaag-uthe.html	gori	10
Krantiveer (1994)	1994	https://www.lyricsbogie.com/movies/krantiveer-1994/jhankaro-jhankaro.html	gora	4
Krantiveer (1994)	1994	https://www.lyricsbogie.com/movies/krantiveer-1994/jhankaro-jhankaro.html	gori	4
Picnic (1966)	1966	https://www.lyricsbogie.com/movies/picnic-1966/hey-nainwa-na-pher-pher-ke.html	gori	1
Joroo Ka Ghulam (1972)	1972	https://www.lyricsbogie.com/movies/joroo-ka-ghulam-1972/mera-chain-khoya-hua-hai.html	gori	1
